Filename,Frente+Umida,Fundo+Intermediaria,Meio+Seca,camendoim6sCenL1
frame00031.png,0.09792814,0.22884807,0.14766438,0.52555937
frame00061.png,0.09843144,0.23045644,0.14828339,0.52282876
frame00111.png,0.09944408,0.23410738,0.14965019,0.5167983
frame00121.png,0.09886572,0.23356022,0.14913344,0.51844066
frame00161.png,0.09873838,0.23154025,0.14872392,0.52099746
frame00171.png,0.09881979,0.23172352,0.14877522,0.52068144
frame00201.png,0.099143304,0.23301725,0.1492315,0.51860785
frame00291.png,0.100051604,0.24019405,0.15038304,0.50937134
frame00431.png,0.09977904,0.23337801,0.14852285,0.5183201
frame00491.png,0.09889052,0.2329586,0.1488883,0.51926255
frame00521.png,0.098021366,0.22847557,0.14803465,0.5254684
frame00561.png,0.099455565,0.23750949,0.15023637,0.5127986
frame00571.png,0.09949354,0.23777077,0.15030691,0.5124288
frame00581.png,0.09950154,0.23756523,0.15022539,0.5127078
frame00611.png,0.09953668,0.23766983,0.15028557,0.5125079
frame00691.png,0.10479253,0.2540532,0.1568568,0.4842974
frame00751.png,0.103738055,0.24818486,0.15628797,0.49178922
frame00811.png,0.10180753,0.24399228,0.1539309,0.5002693
frame00821.png,0.1019469,0.24448046,0.15409893,0.49947372
frame00941.png,0.0985765,0.23550017,0.15173241,0.5141909
frame00951.png,0.09853421,0.2356275,0.15172727,0.514111
frame00981.png,0.09865013,0.23482387,0.15048404,0.516042
frame01011.png,0.09874762,0.23324487,0.15107553,0.51693195
frame01141.png,0.09594055,0.22681145,0.1475713,0.52967674
frame01161.png,0.09579147,0.22582564,0.14750426,0.53087866
frame01171.png,0.095748276,0.22566909,0.14751983,0.5310628
frame01261.png,0.10285193,0.25075492,0.15626228,0.49013084
frame01281.png,0.10019545,0.23921902,0.15133408,0.5092514
frame01471.png,0.10050909,0.24202122,0.15369193,0.5037778
frame01481.png,0.10066494,0.24211493,0.1537931,0.50342697
frame01501.png,0.10447025,0.25118488,0.15717196,0.4871729
frame01561.png,0.10259052,0.24689852,0.15628274,0.49422818
frame01761.png,0.100342974,0.23951364,0.15336733,0.5067761
frame01901.png,0.1004011,0.2459787,0.15523651,0.49838364
frame01961.png,0.100303285,0.24491562,0.15617177,0.4986093
frame01971.png,0.10017974,0.24462183,0.15608089,0.4991176
frame02011.png,0.10013848,0.24166723,0.15575898,0.5024353
frame02051.png,0.099267304,0.24181618,0.15587062,0.5030459
frame02101.png,0.10131617,0.2505079,0.1584489,0.489727
frame02141.png,0.100825936,0.23970988,0.15564786,0.50381625
frame02241.png,0.103461966,0.24556607,0.15599467,0.4949773
frame02321.png,0.10128525,0.24295008,0.15550411,0.50026053
frame02351.png,0.10238681,0.2446576,0.15492022,0.49803537
frame02381.png,0.101319835,0.23803124,0.15260267,0.50804627
frame02431.png,0.100486815,0.23676835,0.15307611,0.5096687
frame02451.png,0.1003977,0.23699251,0.15163688,0.51097286
frame02481.png,0.1006236,0.24030347,0.15275992,0.50631297
frame02561.png,0.09743965,0.22990952,0.14876528,0.52388555
frame02651.png,0.09670289,0.23165263,0.14986107,0.5217834
frame02701.png,0.098058425,0.24162477,0.15324658,0.50707024
frame02841.png,0.102385625,0.24969953,0.15807416,0.4898407
frame02951.png,0.1044113,0.25583076,0.15897463,0.48078325
frame03031.png,0.10631901,0.25553116,0.15972109,0.4784287
frame03081.png,0.105030544,0.25551248,0.15710633,0.48235074
frame03131.png,0.10180036,0.24384774,0.15516603,0.4991859
frame03251.png,0.10248587,0.24403317,0.15497588,0.49850506
frame03261.png,0.10284961,0.24487235,0.15534937,0.4969286
frame03271.png,0.10330697,0.24514922,0.15529467,0.4962491
frame03311.png,0.10124783,0.23937999,0.1534697,0.50590247
frame03361.png,0.10000137,0.24072874,0.15347934,0.5057906
frame03431.png,0.101015545,0.23800912,0.15298034,0.50799495
frame03561.png,0.101316,0.25283748,0.15924557,0.48660094
frame03621.png,0.10134881,0.25147787,0.15916012,0.48801318
frame03691.png,0.104987144,0.25435156,0.1621569,0.47850445
frame03711.png,0.10485869,0.25346813,0.1618737,0.47979954
frame03721.png,0.104890384,0.25422788,0.1621278,0.47875395
frame03781.png,0.1029431,0.24964373,0.15847945,0.48893368
frame03811.png,0.10551725,0.2610702,0.16298127,0.47043133
frame03831.png,0.105497554,0.26110557,0.16291451,0.47048244
frame04011.png,0.10530541,0.2561569,0.15864338,0.4798943
frame04021.png,0.10525133,0.25575888,0.15848097,0.48050871
