Filename,Frente+Umida,Fundo+Intermediaria,Meio+Seca,camendoim6sCenL1
frame00031.png,0.19316679,0.23670794,0.21321535,0.35690987
frame00061.png,0.1939029,0.23685665,0.21365349,0.35558695
frame00111.png,0.19398266,0.23682643,0.21379621,0.35539475
frame00121.png,0.19424504,0.23691408,0.21388155,0.35495934
frame00161.png,0.19401176,0.23646352,0.21336211,0.3561626
frame00171.png,0.19407108,0.236716,0.21353169,0.35568118
frame00201.png,0.19440235,0.236613,0.21355651,0.35542813
frame00291.png,0.19643472,0.23900604,0.21783942,0.34671983
frame00431.png,0.19352454,0.23947437,0.2170346,0.34996647
frame00491.png,0.19811878,0.240912,0.2208212,0.34014806
frame00521.png,0.19811009,0.24265008,0.22259158,0.33664823
frame00561.png,0.18861832,0.23319449,0.20780006,0.37038714
frame00571.png,0.1881421,0.23256211,0.20694755,0.3723483
frame00581.png,0.18897383,0.2333303,0.2081774,0.36951846
frame00611.png,0.18864937,0.23283404,0.20745145,0.37106517
frame00691.png,0.18433677,0.23061705,0.20343257,0.38161364
frame00751.png,0.18872754,0.23707366,0.21226658,0.36193225
frame00811.png,0.19913407,0.24192782,0.22177967,0.33715844
frame00821.png,0.19962521,0.24215901,0.22235167,0.33586413
frame00941.png,0.19485113,0.2392475,0.21778387,0.34811756
frame00951.png,0.19563383,0.2399274,0.21879624,0.34564254
frame00981.png,0.19555835,0.24006785,0.21792515,0.3464486
frame01011.png,0.19854456,0.24394493,0.22421215,0.33329836
frame01141.png,0.19653109,0.24143736,0.22043443,0.34159714
frame01161.png,0.19845334,0.24049781,0.2204649,0.34058398
frame01171.png,0.19829659,0.24049756,0.22044043,0.34076545
frame01261.png,0.19803597,0.24162862,0.22081879,0.33951664
frame01281.png,0.19716406,0.2404377,0.21992019,0.342478
frame01471.png,0.19909416,0.24449292,0.22481646,0.33159652
frame01481.png,0.19924662,0.24486913,0.225336,0.33054823
frame01501.png,0.19351318,0.23489335,0.21107775,0.36051565
frame01561.png,0.20140514,0.2458966,0.22797401,0.3247243
frame01761.png,0.20074472,0.24984595,0.23130912,0.31810027
frame01901.png,0.20686157,0.2562683,0.24298938,0.29388073
frame01961.png,0.19875683,0.24367927,0.2231903,0.33437362
frame01971.png,0.19940884,0.24502449,0.22505051,0.3305162
frame02011.png,0.20297253,0.24883565,0.23196147,0.3162304
frame02051.png,0.20130229,0.25112376,0.23293333,0.31464064
frame02101.png,0.20354176,0.2482048,0.23084502,0.31740847
frame02141.png,0.20712942,0.24614649,0.23013568,0.31658846
frame02241.png,0.20201789,0.24610732,0.22675636,0.3251184
frame02321.png,0.19850259,0.24359234,0.223161,0.33474416
frame02351.png,0.19795293,0.24514936,0.22452079,0.3323769
frame02381.png,0.2030874,0.24756382,0.23074163,0.31860715
frame02431.png,0.20000975,0.24355355,0.22391781,0.3325189
frame02451.png,0.19839305,0.24453372,0.22366837,0.33340484
frame02481.png,0.19425033,0.23821485,0.21479441,0.3527404
frame02561.png,0.19553739,0.24303196,0.22118102,0.3402497
frame02651.png,0.20047869,0.24383445,0.22507031,0.33061653
frame02701.png,0.20416126,0.25176942,0.23648237,0.30758697
frame02841.png,0.20670356,0.2478701,0.2330543,0.31237212
frame02951.png,0.20177525,0.24490663,0.22589874,0.32741934
frame03031.png,0.19863857,0.2499004,0.22917783,0.32228318
frame03081.png,0.19414058,0.24384338,0.22116344,0.34085256
frame03131.png,0.19635679,0.24678148,0.22486152,0.33200017
frame03251.png,0.19980115,0.24548481,0.22571579,0.3289982
frame03261.png,0.20099261,0.24661961,0.22776692,0.32462084
frame03271.png,0.20226067,0.24700387,0.22914514,0.32159033
frame03311.png,0.20218179,0.24555025,0.22689237,0.32537562
frame03361.png,0.19760773,0.24117452,0.21994242,0.3412754
frame03431.png,0.20388338,0.2534533,0.23735148,0.30531186
frame03561.png,0.20291574,0.24914938,0.23204345,0.31589147
frame03621.png,0.20495147,0.25175235,0.2361961,0.3071001
frame03691.png,0.19959635,0.24772637,0.22757703,0.32510027
frame03711.png,0.20074767,0.24870677,0.2293136,0.32123193
frame03721.png,0.20200123,0.24906674,0.2306774,0.3182546
frame03781.png,0.20123936,0.2525031,0.23453638,0.3117211
frame03811.png,0.19862707,0.24438241,0.22383544,0.33315504
frame03831.png,0.19833244,0.24341974,0.22252287,0.33572498
frame04011.png,0.2021131,0.24859923,0.23044036,0.31884727
frame04021.png,0.20176049,0.24796914,0.22955649,0.3207139
frame04041.png,0.1968458,0.24037662,0.2182875,0.34449008
frame04091.png,0.19907697,0.24506056,0.22486126,0.3310012
frame04161.png,0.1991035,0.24206346,0.2219644,0.33686867
frame04201.png,0.19970201,0.24645007,0.22690727,0.3269406
frame04241.png,0.2009725,0.2472273,0.22930157,0.32249865
frame04311.png,0.1950431,0.24120398,0.21943204,0.34432083
frame04531.png,0.20182033,0.24820597,0.22953689,0.32043684
frame04561.png,0.20950526,0.24948907,0.23455964,0.30644602
frame04611.png,0.2000056,0.24396373,0.22405946,0.33197126
frame04661.png,0.20751584,0.253544,0.23890696,0.30003318
frame04711.png,0.1956717,0.24409907,0.22160222,0.33862707
frame04721.png,0.195854,0.24401262,0.22160767,0.33852574
frame04731.png,0.1949721,0.24307731,0.22017394,0.3417767
frame04741.png,0.19604109,0.2444558,0.2221345,0.33736864
frame04901.png,0.19709171,0.24203092,0.22093159,0.33994576
